age,value,unit,notes
0,0.42,normalized,"Neonatal baseline"
1,0.58,normalized,"Rapid early growth"
2,0.72,normalized,"Continued rapid growth"
3,0.83,normalized,"Approaching peak"
4,0.91,normalized,"Near peak"
5,0.96,normalized,"Near peak"
6,1.00,normalized,"Peak grey matter volume (reference)"
7,0.99,normalized,"Beginning decline"
8,0.97,normalized,"Gradual decline"
9,0.95,normalized,"INFLECTION: rate change"
10,0.93,normalized,"Continued decline"
12,0.90,normalized,"Childhood decline"
14,0.87,normalized,"Adolescent decline"
16,0.84,normalized,"Adolescent decline"
18,0.81,normalized,"Late adolescent"
20,0.78,normalized,"INFLECTION: end of major pruning"
22,0.76,normalized,"Young adult"
25,0.74,normalized,"Young adult"
28,0.72,normalized,"Adult stabilization"
30,0.71,normalized,"INFLECTION: plateau onset"
35,0.69,normalized,"Adult plateau"
40,0.67,normalized,"Adult plateau"
45,0.65,normalized,"Adult plateau"
50,0.63,normalized,"Midlife"
55,0.60,normalized,"Midlife decline"
60,0.57,normalized,"Beginning acceleration"
65,0.53,normalized,"INFLECTION: accelerated atrophy"
70,0.48,normalized,"Accelerated decline"
75,0.42,normalized,"Accelerated decline"
80,0.36,normalized,"Late life decline"
85,0.30,normalized,"Late life decline"
90,0.24,normalized,"End of measured range"
