age,value,unit,notes
0,0.25,normalized,"Neonatal baseline"
1,0.32,normalized,"Early myelination"
2,0.40,normalized,"Rapid myelination"
3,0.48,normalized,"Continued myelination"
5,0.58,normalized,"Childhood growth"
7,0.67,normalized,"Childhood growth"
10,0.76,normalized,"Pre-adolescent"
12,0.82,normalized,"Early adolescent"
15,0.88,normalized,"Mid-adolescent"
18,0.93,normalized,"Late adolescent"
20,0.96,normalized,"Young adult"
22,0.98,normalized,"Approaching peak"
25,0.99,normalized,"Near peak"
28,1.00,normalized,"Peak white matter volume (reference)"
30,0.99,normalized,"Beginning plateau"
35,0.98,normalized,"Adult plateau"
40,0.96,normalized,"Adult plateau"
45,0.94,normalized,"Mild decline begins"
50,0.91,normalized,"Midlife"
55,0.86,normalized,"Accelerating decline"
60,0.80,normalized,"Continued decline"
65,0.73,normalized,"Further decline"
70,0.65,normalized,"Late life decline"
75,0.56,normalized,"Late life decline"
80,0.47,normalized,"Late life decline"
85,0.38,normalized,"End range"
90,0.30,normalized,"End range"
