age,value,unit,notes
0,0.40,normalized,"Neonatal baseline"
2,0.52,normalized,"Infant development"
4,0.64,normalized,"Early childhood"
6,0.74,normalized,"Childhood"
8,0.82,normalized,"Late childhood"
9,0.86,normalized,"INFLECTION: emergence of modular organisation"
10,0.89,normalized,"Post-modular emergence"
12,0.93,normalized,"Adolescent development"
14,0.96,normalized,"Adolescent"
16,0.98,normalized,"Late adolescent"
18,0.99,normalized,"Young adult"
20,1.00,normalized,"Near peak"
22,1.00,normalized,"Near peak"
25,1.00,normalized,"Adult plateau"
28,1.00,normalized,"Adult plateau"
30,0.99,normalized,"Beginning plateau end"
32,0.98,normalized,"INFLECTION: peak global efficiency"
35,0.96,normalized,"Post-peak decline"
40,0.92,normalized,"Midlife"
45,0.87,normalized,"Midlife decline"
50,0.81,normalized,"Late midlife"
55,0.74,normalized,"Late midlife"
60,0.66,normalized,"Pre-elderly"
66,0.56,normalized,"INFLECTION: accelerated hub degradation"
70,0.48,normalized,"Elderly decline"
75,0.38,normalized,"Late elderly"
80,0.28,normalized,"Late elderly"
83,0.22,normalized,"INFLECTION: network fragmentation onset"
85,0.18,normalized,"End range"
90,0.12,normalized,"End range"
