age,value,unit,notes
0,0.15,normalized,"Neonatal - low modularity"
2,0.22,normalized,"Infant"
4,0.32,normalized,"Early childhood"
6,0.44,normalized,"Childhood"
8,0.56,normalized,"Late childhood"
9,0.64,normalized,"INFLECTION: modular organisation emergence"
10,0.72,normalized,"Post-emergence"
12,0.82,normalized,"Adolescent"
14,0.90,normalized,"Adolescent"
16,0.96,normalized,"Late adolescent"
18,0.99,normalized,"Young adult"
20,1.00,normalized,"Peak modularity"
22,1.00,normalized,"Plateau"
25,0.99,normalized,"Adult"
28,0.97,normalized,"Adult"
30,0.95,normalized,"Adult"
32,0.92,normalized,"INFLECTION: post-peak"
35,0.88,normalized,"Midlife"
40,0.81,normalized,"Midlife decline"
45,0.73,normalized,"Midlife"
50,0.65,normalized,"Late midlife"
55,0.56,normalized,"Late midlife"
60,0.47,normalized,"Pre-elderly"
66,0.36,normalized,"INFLECTION: accelerated decline"
70,0.28,normalized,"Elderly"
75,0.20,normalized,"Late elderly"
80,0.14,normalized,"Late elderly"
83,0.10,normalized,"INFLECTION: fragmentation"
85,0.08,normalized,"End range"
90,0.05,normalized,"End range"
