age,value,unit,notes
6,0.65,normalized,"Early childhood"
7,0.72,normalized,"Childhood growth"
8,0.80,normalized,"Childhood growth"
9,0.88,normalized,"Approaching peak"
10,0.94,normalized,"Near peak"
11,0.98,normalized,"Near peak"
12,1.00,normalized,"INFLECTION: alpha power peak, transition to adult rhythmicity"
13,0.98,normalized,"Post-peak decline"
14,0.95,normalized,"Adolescent decline"
15,0.92,normalized,"Adolescent"
16,0.89,normalized,"Adolescent"
18,0.84,normalized,"Late adolescent"
20,0.80,normalized,"Young adult"
25,0.74,normalized,"Adult"
30,0.69,normalized,"Adult"
35,0.65,normalized,"Midlife"
40,0.62,normalized,"Midlife"
45,0.59,normalized,"Midlife"
50,0.56,normalized,"Late midlife"
55,0.53,normalized,"Late midlife"
60,0.50,normalized,"Pre-elderly"
65,0.47,normalized,"Elderly"
70,0.44,normalized,"Elderly decline"
75,0.40,normalized,"Late elderly"
80,0.36,normalized,"Late elderly"
85,0.32,normalized,"End range"
