age,value,unit,notes
6,0.55,normalized,"Early childhood"
8,0.60,normalized,"Childhood"
10,0.66,normalized,"Late childhood"
12,0.72,normalized,"Early adolescent"
14,0.78,normalized,"Adolescent"
16,0.83,normalized,"Adolescent"
18,0.87,normalized,"INFLECTION: beta power stabilization"
20,0.89,normalized,"Young adult plateau"
22,0.90,normalized,"Plateau"
25,0.91,normalized,"Plateau"
28,0.92,normalized,"Plateau"
30,0.93,normalized,"Adult"
35,0.94,normalized,"Adult"
40,0.95,normalized,"Midlife"
45,0.96,normalized,"Midlife"
50,0.97,normalized,"Late midlife"
55,0.98,normalized,"Late midlife"
60,0.99,normalized,"Pre-elderly"
65,1.00,normalized,"Peak in elderly (compensatory)"
70,0.99,normalized,"Elderly"
75,0.97,normalized,"Late elderly"
80,0.94,normalized,"Late elderly"
85,0.90,normalized,"End range"
