age,value,unit,notes
6,0.70,normalized,"Early childhood"
8,0.78,normalized,"Childhood"
10,0.86,normalized,"Late childhood"
12,0.92,normalized,"Early adolescent"
14,0.96,normalized,"Adolescent"
16,0.98,normalized,"Late adolescent"
18,0.99,normalized,"Young adult"
20,1.00,normalized,"Peak young adult"
25,0.99,normalized,"Adult plateau"
30,0.97,normalized,"Adult"
35,0.94,normalized,"Early midlife"
40,0.90,normalized,"INFLECTION: gamma power decline onset"
45,0.85,normalized,"Midlife decline"
50,0.79,normalized,"Continued decline"
55,0.72,normalized,"Late midlife"
60,0.65,normalized,"Pre-elderly"
65,0.57,normalized,"Elderly"
70,0.48,normalized,"INFLECTION: broad-spectrum reduction acceleration"
75,0.38,normalized,"Late elderly"
80,0.28,normalized,"Late elderly"
85,0.20,normalized,"End range"
